Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,First,Last,Years,City,Region,Country,Status,Results
Dickens Cider,0,0,1,0,1,2014,2014,1,Hillwood,Tasmania,Australia,Inactive,https://ciderguide.com/dickens-cider/
Domaine de Normandie,0,0,1,0,1,2016,2016,1,Caderousse,Provence-Alpes-Côte d'Azur,France,Inactive,https://ciderguide.com/domaine-de-normandie/
Domaine Pinnacle,0,0,1,0,1,2013,2013,1,Frelighsburg,Quebec,Canada,Active,https://ciderguide.com/domaine-pinnacle/
Epona,0,0,1,0,1,2021,2021,1,Woodland,Washington,USA,Inactive,https://ciderguide.com/epona/
Fourth Coast Ciderworks,0,0,1,0,1,2019,2019,1,Lake Orion,Michigan,USA,Active,https://ciderguide.com/fourth-coast-ciderworks/
Garage D'or Ciders,0,0,1,0,1,2017,2017,1,Pelham,Ontario,Canada,Inactive,https://ciderguide.com/garage-dor-ciders/
Geo Cider,0,0,1,0,1,2023,2023,1,Squamish,British Columbia,Canada,Active,https://ciderguide.com/geo-cider/
Great Lakes Farms,0,0,1,0,1,2023,2023,1,Port Stanley,Ontario,Canada,Active,https://ciderguide.com/great-lakes-farms/
J. Trees Cellars,0,0,1,0,1,2011,2011,1,Tecumseh,Michigan,USA,Inactive,https://ciderguide.com/j-trees-cellars/
Kennebec Cider Company,0,0,1,0,1,2011,2011,1,Winthrop,Maine,USA,Inactive,https://ciderguide.com/kennebec-cider-company/
Koval Distillery,0,0,1,0,1,2011,2011,1,Chicago,Illinois,USA,Active,https://ciderguide.com/koval-distillery/
Melo Moon Cider,0,0,1,0,1,2022,2022,1,Greenwich,New York,USA,Active,https://ciderguide.com/melo-moon-cider/
Moss Vineyards,0,0,1,0,1,2022,2022,1,Dyke,Virginia,USA,Active,https://ciderguide.com/moss-vineyards/
Punta de Fierro Fine Cider,0,0,1,0,1,2024,2024,1,Cayumapu,Los Ríos,Chile,Active,https://ciderguide.com/punta-de-fierro-fine-cider/
Reinhart's Cider,0,0,1,0,1,2018,2018,1,Stayner,Ontario,Canada,Active,https://ciderguide.com/reinharts-cider/
Rider Ranch,0,0,1,0,1,2018,2018,1,Los Gatos,California,USA,Inactive,https://ciderguide.com/rider-ranch/
Riley's Cidery,0,0,1,0,1,2023,2023,1,Bowen Island,British Columbia,Canada,Active,https://ciderguide.com/rileys-cidery/
Rock N Wool Winery,0,0,1,0,1,2021,2021,1,Poynette,Wisconsin,USA,Active,https://ciderguide.com/rock-n-wool-winery/
Rogue Ales & Spirits,0,0,1,0,1,2016,2016,1,Newport,Oregon,USA,Active,https://ciderguide.com/rogue-ales-spirits/
Seven Seeds Seidr,0,0,1,0,1,2019,2019,1,Forest Grove,Oregon,USA,Active,https://ciderguide.com/seven-seeds-seidr/
Shield Cider,0,0,1,0,1,2018,2018,1,Houston,Texas,USA,Inactive,https://ciderguide.com/shield-cider/
Sidra Cortina,0,0,1,0,1,2013,2013,1,Amandi,Asturias,Spain,Active,https://ciderguide.com/sidra-cortina/
Sidrería Irigoien Herrero,0,0,1,0,1,2015,2015,1,Astigarraga,Basque Country,Spain,Active,https://ciderguide.com/sidreria-irigoien-herrero/
Sidrería TenCai,0,0,1,0,1,2024,2024,1,Padre Las Casas,Araucanía,Chile,Active,https://ciderguide.com/sidreria-tencai/
Silo Distillery,0,0,1,0,1,2019,2019,1,Windsor,Vermont,USA,Active,https://ciderguide.com/silo-distillery/
Sincere Cider,0,0,1,0,1,2024,2024,1,Oakland,California,USA,Active,https://ciderguide.com/sincere-cider/
SoCal CiderWorks,0,0,1,0,1,2017,2017,1,Los Angeles,California,USA,Inactive,https://ciderguide.com/socal-ciderworks/
Squiggly Tree Cider,0,0,1,0,1,2021,2021,1,Grand Rapids,Michigan,USA,Inactive,https://ciderguide.com/squiggly-tree-cider/
Still River Winery,0,0,1,0,1,2011,2011,1,Harvard,Massachusetts,USA,Inactive,https://ciderguide.com/still-river-winery/
Stoked Cider,0,0,1,0,1,2018,2018,1,Westlake Village,California,USA,Inactive,https://ciderguide.com/stoked-cider/
Stoney Ridge Winery,0,0,1,0,1,2018,2018,1,Bryan,Ohio,USA,Active,https://ciderguide.com/stoney-ridge-winery/
Thornborough Cider,0,0,1,0,1,2017,2017,1,Thornborough,North Yorkshire,England,Active,https://ciderguide.com/thornborough-cider/
Tin Hat Cider,0,0,1,0,1,2018,2018,1,Warren,Vermont,USA,Active,https://ciderguide.com/tin-hat-cider/
Upstream Cider,0,0,1,0,1,2019,2019,1,Stevens Point,Wisconsin,USA,Inactive,https://ciderguide.com/upstream-cider/
Vin 312,0,0,1,0,1,2021,2021,1,Chicago,Illinois,USA,Active,https://ciderguide.com/vin-312/
Winterset Cidery,0,0,1,0,1,2023,2023,1,Winterset,Iowa,USA,Active,https://ciderguide.com/winterset-cidery/
Akiu Winery,0,0,0,1,1,2022,2022,1,Sendai,Miyagi,Japan,Active,https://ciderguide.com/akiu-winery/
Allagash Brewing Company,0,0,0,1,1,2024,2024,1,Portland,Maine,USA,Active,https://ciderguide.com/allagash-brewing-company/
Allegheny Cellars Winery,0,0,0,1,1,2013,2013,1,Sheffield,Pennsylvania,USA,Active,https://ciderguide.com/allegheny-cellars-winery/
Apfelweinkontor,0,0,0,1,1,2014,2014,1,Frankfurt,Hesse,Germany,Active,https://ciderguide.com/apfelweinkontor/
Arktos Meadery,0,0,0,1,1,2016,2016,1,Grand Rapids,Michigan,USA,Active,https://ciderguide.com/arktos-meadery/
Bardic Brewing & Cider,0,0,0,1,1,2021,2021,1,Spokane Valley,Washington,USA,Active,https://ciderguide.com/bardic-brewing-cider/
Blindwood Cider,0,0,0,1,1,2019,2019,1,Berkeley,California,USA,Active,https://ciderguide.com/blindwood-cider/
Boston Beer Company,0,0,0,1,1,2007,2007,1,Boston,Massachusetts,USA,Active,https://ciderguide.com/boston-beer-company/
Brinkhall Sparkling,0,0,0,1,1,2017,2017,1,Halikko,Southwest Finland,Finland,Active,https://ciderguide.com/brinkhall-sparkling/
Casa de Oro Cider,0,0,0,1,1,2023,2023,1,Sun Valley,California,USA,Active,https://ciderguide.com/casa-de-oro-cider/
Cotswold Cider Company,0,0,0,1,1,2017,2017,1,Coleshill,Oxfordshire,England,Active,https://ciderguide.com/cotswold-cider-company/
Craigies Cider,0,0,0,1,1,2015,2015,1,Bagenalstown,Carlow,Ireland,Active,https://ciderguide.com/craigies-cider/
Dan Kelly's Cider,0,0,0,1,1,2015,2015,1,Drogheda,Louth,Ireland,Active,https://ciderguide.com/dan-kellys-cider/
Downeast Cider House,0,0,0,1,1,2012,2012,1,Charlestown,Massachusetts,USA,Active,https://ciderguide.com/downeast-cider-house/
Duntroon Cyder House,0,0,0,1,1,2015,2015,1,Duntroon,Ontario,Canada,Active,https://ciderguide.com/duntroon-cyder-house/
East End Brewing Company,0,0,0,1,1,2022,2022,1,Pittsburgh,Pennsylvania,USA,Active,https://ciderguide.com/east-end-brewing-company/
Eva Group,0,0,0,1,1,2016,2016,1,Lekunberri,Navarre,Spain,Active,https://ciderguide.com/eva-group/
F.H. Prager,0,0,0,1,1,2016,2016,1,Zbraslav,Prague,Czechia,Active,https://ciderguide.com/f-h-prager/
Farm & Cidery Kaneshige,0,0,0,1,1,2022,2022,1,Shimojō,Nagano,Japan,Active,https://ciderguide.com/farm-cidery-kaneshige/
French Road Cellars,0,0,0,1,1,2011,2011,1,Lake Leelenau,Michigan,USA,Active,https://ciderguide.com/french-road-cellars/
Friendly Noise,0,0,0,1,1,2023,2023,1,Los Angeles,California,USA,Active,https://ciderguide.com/friendly-noise/
Hard Way Cider Co.,0,0,0,1,1,2019,2019,1,Kingston,Ontario,Canada,Active,https://ciderguide.com/hard-way-cider-co/
Hideout Brewing Company,0,0,0,1,1,2009,2009,1,Grand Rapids,Michigan,USA,Inactive,https://ciderguide.com/hideout-brewing-company/
Long View Ciderhouse,0,0,0,1,1,2023,2023,1,Southington,Connecticut,USA,Active,https://ciderguide.com/long-view-ciderhouse/
Longueville House,0,0,0,1,1,2015,2015,1,Mallow,Cork,Ireland,Active,https://ciderguide.com/longueville-house/
Malicious Spirits,0,0,0,1,1,2018,2018,1,Manistee,Michigan,USA,Inactive,https://ciderguide.com/malicious-spirits/
Modales Wines,0,0,0,1,1,2024,2024,1,Fennville,Michigan,USA,Active,https://ciderguide.com/modales-wines/
Mori-yama-en,0,0,0,1,1,2022,2022,1,Hirosaki,Aomori,Japan,Active,https://ciderguide.com/mori-yama-en/
No Boats On Sunday,0,0,0,1,1,2017,2017,1,Truro,Nova Scotia,Canada,Active,https://ciderguide.com/no-boats-on-sunday/
Occam Cider,0,0,0,1,1,2024,2024,1,Beacon,New York,USA,Active,https://ciderguide.com/occam-cider/
Palestra Hidromiel,0,0,0,1,1,2024,2024,1,,,Chile,Active,https://ciderguide.com/palestra-hidromiel/
Pink Barrel Cellars,0,0,0,1,1,2024,2024,1,Grand Rapids,Michigan,USA,Active,https://ciderguide.com/pink-barrel-cellars/
Rebel Seed Cidery,0,0,0,1,1,2016,2016,1,Marydel,Delaware,USA,Active,https://ciderguide.com/rebel-seed-cidery/
Red Door Brewing Company,0,0,0,1,1,2019,2019,1,Albuquerque,New Mexico,USA,Active,https://ciderguide.com/red-door-brewing-company/
Sanctuary Spirits,0,0,0,1,1,2014,2014,1,Grand Ledge,Michigan,USA,Active,https://ciderguide.com/sanctuary-spirits/
Santa Fe Cider Works,0,0,0,1,1,2015,2015,1,Santa Fe,New Mexico,USA,Inactive,https://ciderguide.com/santa-fe-cider-works/
Sidra Castañón,0,0,0,1,1,2013,2013,1,Quintueles,Asturias,Spain,Active,https://ciderguide.com/sidra-castanon/
Sidra Della Chà,0,0,0,1,1,2024,2024,1,Tralcao,Los Ríos,Chile,Active,https://ciderguide.com/sidra-della-cha/
Sidra Insular,0,0,0,1,1,2024,2024,1,Achao,Los Lagos,Chile,Active,https://ciderguide.com/sidra-insular/
Sidra Menéndez,0,0,0,1,1,2013,2013,1,Fano,Asturias,Spain,Active,https://ciderguide.com/sidra-menendez/
Slaughterhouse Craft Cider & Mead,0,0,0,1,1,2024,2024,1,Prince George,British Columbia,Canada,Active,https://ciderguide.com/slaughterhouse-craft/
Sulker's Cider,0,0,0,1,1,2017,2017,1,Newmarket,Ontario,Canada,Inactive,https://ciderguide.com/sulkers-cider/
Sully's Cider,0,0,0,1,1,2014,2014,1,Reidsdale,New South Wales,Australia,Active,https://ciderguide.com/sullys-cider/
Summerland Heritage Cider Company,0,0,0,1,1,2013,2013,1,Summerland,British Columbia,Canada,Active,https://ciderguide.com/summerland-heritage-cider-company/
The Cider Mill Slane,0,0,0,1,1,2014,2014,1,Slane,Meath,Ireland,Active,https://ciderguide.com/the-cider-mill-slane/
The Hills Cider Company,0,0,0,1,1,2014,2014,1,North Adelaide,South Australia,Australia,Active,https://ciderguide.com/the-hills-cider-company/
The New Frontier Cider Company,0,0,0,1,1,2019,2019,1,Seville,Ohio,USA,Inactive,https://ciderguide.com/the-new-frontier-cider-company/
Three Brothers Wineries & Estates,0,0,0,1,1,2015,2015,1,Geneva,New York,USA,Active,https://ciderguide.com/three-brothers-wineries-estates/
Treehive,0,0,0,1,1,2024,2024,1,Brocton,Illinois,USA,Active,https://ciderguide.com/treehive/
Trubacheevka,0,0,0,1,1,2023,2023,1,Trubacheyevka,Moscow Oblast,Russia,Active,https://ciderguide.com/trubacheevka/
Unibroue,0,0,0,1,1,2005,2005,1,Chambly,Quebec,Canada,Active,https://ciderguide.com/unibroue/
Vines & Rushes Winery,0,0,0,1,1,2014,2014,1,Ripon,Wisconsin,USA,Active,https://ciderguide.com/vines-rushes-winery/
Westview Orchards & Winery,0,0,0,1,1,2019,2019,1,Washington,Michigan,USA,Active,https://ciderguide.com/westview-orchards-winery/
Working Hands Fermentation,0,0,0,1,1,2017,2017,1,Hood River,Oregon,USA,Active,https://ciderguide.com/working-hands-fermentation/
XO Alambic,0,0,0,1,1,2019,2019,1,Dayton,Washington,USA,Inactive,https://ciderguide.com/xo-alambic/
Yahara Bay Distillery,0,0,0,1,1,2011,2011,1,Madison,Wisconsin,USA,Active,https://ciderguide.com/yahara-bay-distillery/
